gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
A1BG	A1BG	196.459351014242	210.306708073714	136.756188603198	94.4621106959777	68.2022067181092	125.017662736557	125.152708765046	156.379828088429
A1BG-AS1	A1BG-AS1	62.004895253523	88.2069048520406	123.77658474172	103.599133052488	31.4131559710017	82.6362599943973	77.4058343784299	166.495581176074
A1CF	A1CF	0.419329295877952	0	0.210167058911571	0	0.193703032212264	0.421931490143528	0	0
A2M	A2M	8580.3171634086	6424.78779895672	13743.3535430415	11949.6138225594	932.5882865598	4282.55186480596	14190.8166588711	15512.8012613673
A2M-AS1	A2M-AS1	49.4649169051936	32.5723646927876	27.9812210015474	12.3589065481757	23.4103580414717	17.5879346456295	26.4143787069236	16.8038929870247
A2ML1	A2ML1	0	0	0.525023059982215	0	0.967832444977925	0	1.07695890991564	0
A2MP1	A2MP1	0	0	1.83414040194454	0	1.69111128049778	0	0	0
A3GALT2	A3GALT2	0	0	0	0	2.04136817321218	0	0	0
A4GALT	A4GALT	790.672661156518	1060.48481063628	1308.37117738424	1002.76389072278	1171.01534313711	1727.72755712494	906.332760189364	1745.59612126661
A4GNT	A4GNT	2.35320182378917	6.8510361315942	14.2074608820233	4.86111112000131	0	0	18.153725971262	10.1549317013176
AA06	AA06	0	0	0	0	0	0	0	0
AAAS	AAAS	816.386521077148	703.299992070492	1017.39996463262	535.320988633337	769.627983124646	939.71757444272	713.517672936248	781.107588103699
AACS	AACS	227.139927647463	150.927357806102	234.718625776916	134.484141927314	211.217101028547	258.771262618661	223.830928193091	207.359390744524
AACSP1	AACSP1	0	0	0	0	0	0	0	0
AADAC	AADAC	3.96318307826064	3.87759752282042	3.97176775847319	5.50101411940792	2.47199722829564	2.64681088210539	1.36939703239778	1.43632921787833
AADACL2	AADACL2	1.41377167066117	0	1.4239422453057	0	1.31276886062864	0	1.45379703663205	1.52489350510108
AADACL3	AADACL3	0	0	0	0	0	0	0	0
AADACL4	AADACL4	2.90091990726128	9.85733294397405	8.76659529447687	8.98783070426799	0	5.83906949854152	5.9658454038115	23.4659275575046
AADAT	AADAT	138.364182232847	110.430711033295	117.06127617091	30.7571576106297	161.009995462306	142.197709314716	129.821059626316	80.7285232476059
AAED1	AAED1	676.635598518691	994.80025483046	841.192074944377	917.222561936125	613.663730357291	1257.2839766311	713.885114714858	1285.09803699551
AAGAB	AAGAB	445.208535911131	346.654652122237	620.040445543507	333.021355694287	566.18471117642	788.263692533608	446.664636446163	380.753913381858
AAK1	AAK1	102.643774957484	84.0077728744345	123.326483944701	74.4673281785169	118.9759901755	150.864327646857	107.108619234928	100.64600252415
AAMDC	AAMDC	1131.97020154339	1313.61525851435	1677.43096953824	992.530204637048	1337.31629407797	1998.52229518776	962.027496624882	1718.8130642114
AAMP	AAMP	1523.36791564696	1678.78573718617	1608.58614011889	1016.63642161235	1404.31061125102	2306.13640220117	1253.98720385749	1691.13261069986
AANAT	AANAT	0	0	2.20608825250829	0	2.03428205110524	2.17682034422356	0	4.70704236854718
AAR2	AAR2	570.702302815336	526.117574983118	604.84634378776	418.963140096023	550.866327910129	846.937471779035	450.631770902616	605.614906361944
AARD	AARD	1.16576211023538	2.26262139193447	0	2.40820106260527	0	1.17320968812104	0	5.0308020597426
AARS	AARS	1866.08846038364	1189.00067693435	2334.4074495183	976.666565572175	2027.96092414071	2032.65940035124	2439.88731800649	1263.43766615926
AARS2	AARS2	306.599475551702	150.112950297225	269.027128066369	67.5878896003858	216.910811912439	208.521381056798	165.359162355325	102.905556896579
AARSD1	AARSD1	530.063645342164	392.734081589068	507.042555369026	250.047692991101	419.448166701871	525.562487373228	361.974088214917	385.357503589987
AASDH	AASDH	154.32974717826	119.793669879894	194.557407408973	107.875014894523	162.916892109023	218.687651281698	159.305630082428	166.061420275614
AASDHPPT	AASDHPPT	443.999903461435	396.518577817437	525.674424962264	318.608216338121	506.62639633208	616.463226752025	413.648636109912	458.006406922828
AASS	AASS	257.552675774447	510.110119899793	309.470698306816	380.024985997768	231.92677549572	530.202206654878	241.051778782018	627.383430792251
AATF	AATF	687.190005376489	677.048136235254	694.912152009429	526.086494201399	736.687073352549	1062.69528780528	578.170186454018	697.80265860067
AATK	AATK	1.54074626232589	0.74671411782621	1.93197338982323	0.397971782032941	0.356118834258011	0.775202920184927	4.36228246307617	0.415891294294649
AATK-AS1	AATK-AS1	0	0	0	0	0	0	0	0
ABAT	ABAT	131.930560488246	262.135023487784	148.584485379692	196.465123816093	147.302963404426	397.448474512387	130.217210405266	302.838806382071
ABCA1	ABCA1	1030.21490527998	944.018679137059	1607.45046855554	1065.51447872702	1872.48417774076	2122.98262268721	1548.87716039003	2023.32972565448
ABCA10	ABCA10	64.3258534101209	30.1278790931505	71.2983978920101	19.0805702876878	58.3151123984152	16.4616162153017	37.8128360444504	12.6673737148405
ABCA11P	ABCA11P	76.9138740144533	35.6790300457646	110.587553672512	48.7291153154552	87.2946444933947	110.175681345034	80.905788349399	56.9611265680532
ABCA12	ABCA12	1.67788286188358	0.232295600980942	1.91717636619651	0.495340976802431	1.10738902919697	0.723580615947652	0.987303635890763	0
ABCA13	ABCA13	2.23232847742003	1.08164812973703	6.03975045713206	2.76876837660978	7.73074734126489	12.6911219160778	4.48315366826008	3.73687679240216
ABCA17P	ABCA17P	0.942703006564704	0	2.83792116136941	0	0	0.948604755357815	2.42615193689936	0.508868330636291
ABCA2	ABCA2	291.241812827959	187.455410883316	351.23731975314	176.148545295692	304.030987133626	559.701419079953	334.38117347527	357.807349899389
ABCA3	ABCA3	35.8537457487105	19.3678882784144	65.1286062589052	41.9354057204321	16.5678949505025	21.8831558934925	44.4824604934708	64.149659845322
ABCA4	ABCA4	3.18084989009443	6.93593660419859	9.3105092212892	8.76434451926198	2.93935170027885	18.9535901280272	7.09652691268198	12.8802785496658
ABCA5	ABCA5	69.6923229063659	63.6571954906253	132.759783800386	82.5854645837223	81.5264233886771	95.9104983563665	116.954933568293	95.0179328091321
ABCA6	ABCA6	543.187807826146	943.255380321479	623.503023057279	840.376779902582	584.440021323796	1211.76070990013	592.337483886451	1405.34594537323
ABCA7	ABCA7	45.0374533032978	24.050319582821	66.427439669447	18.8622428328499	61.6863408762748	49.4546764959522	47.7221764755864	26.9011908855978
ABCA8	ABCA8	1307.51852424417	1404.96060690402	1515.73794889787	867.001059786664	1610.7631309013	1767.54287620786	1150.574654863	1356.7018611188
ABCA9	ABCA9	351.999569096907	463.105736577803	695.756026266861	513.187758140184	541.194901246986	563.227545847343	718.979625245473	920.602629678031
ABCB1	ABCB1	37.1320172465323	16.9679946475708	74.0953066362275	33.1612875386008	49.6541997064286	45.6504660049817	51.0597184692105	25.2011277367349
ABCB10	ABCB10	152.261445225856	149.09549922601	170.274209228805	136.715829174194	149.851801505004	262.234747935666	140.995285929491	199.908938124693
ABCB11	ABCB11	0	0	0	0	0	0	0	0
ABCB4	ABCB4	30.9737596521929	8.03261347218663	27.1149539150268	8.47815992144288	9.52683210506779	9.32707840439272	27.2081844233157	11.3029269428896
ABCB5	ABCB5	17.3770739025869	4.22367952692961	53.7629137643942	9.90083776061146	6.16330183959684	8.07233302344215	13.5152168716655	4.79956575778314
ABCB6	ABCB6	333.997582215899	275.375378497738	286.733369846637	137.882584026416	269.210489358147	400.249044403923	192.03923858933	192.083669893955
ABCB7	ABCB7	231.972154327164	177.283426317178	283.44159930893	146.644988510401	271.825056538202	292.922950184785	230.150120853353	200.147453400666
ABCB8	ABCB8	221.819621546915	198.101432240865	247.464806590683	144.188110199029	229.223643560295	311.45649525258	165.888756133269	182.629128083163
ABCB9	ABCB9	51.5579268807648	22.4993391509917	39.5794487223523	20.8157407788094	37.6396443612132	23.6942783249262	30.7286952269993	15.809044884266
ABCC1	ABCC1	1853.76283373262	1340.77314041503	1913.20565889139	845.132350164072	2044.97526832588	1856.45690545682	1480.71324717933	1156.82348231277
ABCC10	ABCC10	214.563058988174	196.740077508844	265.022116328148	133.515226581627	162.067663927085	249.853270015016	163.067716167758	181.866382335929
ABCC11	ABCC11	2.20679213949414	1.71137239840097	0.442850255441808	0.912007644231114	3.26521914946239	0	1.36312042042172	5.10641678413044
ABCC12	ABCC12	0	0	0	0	0	0	0	0.818833025754401
ABCC13	ABCC13	0	0	0	0	0.6599510333017	0	0	0
